home_block,work_block,job_count,home_lat,home_lng,work_lat,work_lng
060372071021006,060372074001016,13,34.0614323,-118.2417642,34.0533653,-118.2466343
060372041201004,060372074001016,4,34.0335993,-118.2034843,34.0533653,-118.2466343
060371994002006,060372074001016,1,34.0903742,-118.2105576,34.0533653,-118.2466343
060371853101002,060372074001016,1,34.0954679,-118.2244759,34.0533653,-118.2466343
060371853101008,060372074001016,1,34.0933067,-118.2218667,34.0533653,-118.2466343
060372038004001,060372074001016,2,34.0422909,-118.1944643,34.0533653,-118.2466343
060372048102004,060372074001016,3,34.0267167,-118.2000816,34.0533653,-118.2466343
060372051202007,060372074001016,4,34.0219345,-118.2137456,34.0533653,-118.2466343
060375309012000,060372074001016,2,34.0440872,-118.1895703,34.0533653,-118.2466343
060371853201006,060372074001016,2,34.0909284,-118.2255361,34.0533653,-118.2466343
060371853202001,060372074001016,1,34.0894473,-118.223231,34.0533653,-118.2466343
060371853202008,060372074001016,1,34.0853544,-118.2229699,34.0533653,-118.2466343
060371972001008,060372074001016,3,34.0906623,-118.2371854,34.0533653,-118.2466343
060372260011013,060372074001016,1,34.0285539,-118.2607354,34.0533653,-118.2466343
060371853201000,060372074001016,1,34.0946004,-118.2290472,34.0533653,-118.2466343
060371853202011,060372074001016,1,34.0878769,-118.2254961,34.0533653,-118.2466343
060371957103004,060372074001016,7,34.0722175,-118.2727688,34.0533653,-118.2466343
060371992011005,060372074001016,1,34.0746149,-118.2097364,34.0533653,-118.2466343
060371992012001,060372074001016,4,34.0778924,-118.2125016,34.0533653,-118.2466343
060372044201002,060372074001016,1,34.0461858,-118.2089289,34.0533653,-118.2466343
060372048101001,060372074001016,4,34.0316564,-118.2041579,34.0533653,-118.2466343
060372060101000,060372074001016,1,34.0778658,-118.2329707,34.0533653,-118.2466343
060372122021001,060372074001016,1,34.0564262,-118.2863982,34.0533653,-118.2466343
060371994003005,060372074001016,1,34.0825057,-118.2128474,34.0533653,-118.2466343
060371853202006,060372074001016,1,34.0854388,-118.2211299,34.0533653,-118.2466343
060371853202003,060372074001016,1,34.0872367,-118.2223089,34.0533653,-118.2466343
060371852031005,060372074001016,1,34.0980062,-118.2299424,34.0533653,-118.2466343
060371927002010,060372074001016,1,34.0780639,-118.2856878,34.0533653,-118.2466343
060371958041004,060372074001016,1,34.0765367,-118.2727436,34.0533653,-118.2466343
060371992022001,060372074001016,3,34.0789571,-118.2096533,34.0533653,-118.2466343
060371993002003,060372074001016,3,34.0857836,-118.2066664,34.0533653,-118.2466343
060372037101003,060372074001016,2,34.0512043,-118.2037295,34.0533653,-118.2466343
060372047001012,060372074001016,4,34.0332988,-118.2064055,34.0533653,-118.2466343
060372075011000,060372074001016,9,34.0571951,-118.2524216,34.0533653,-118.2466343
060372089031000,060372074001016,2,34.0613052,-118.271367,34.0533653,-118.2466343
060372093001003,060372074001016,1,34.0523087,-118.2710272,34.0533653,-118.2466343
060372123041000,060372074001016,2,34.0597427,-118.297056,34.0533653,-118.2466343
